paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
826,704.3192,2007,25,32,18,1.3157894736842106
528,704.2074,2007,25,38,18,1.3157894736842106
6878,710.1863,2007,25,28,18,1.3157894736842106
9760,712.3171,2007,25,61,18,1.3157894736842106
3345,707.0726,2007,25,24,18,1.3157894736842106
787,704.3069,2007,25,53,18,1.3157894736842106
8363,711.2469,2007,25,22,18,1.3157894736842106
2131,706.0081,2007,25,67,18,1.3157894736842106
9179,712.0959,2007,25,30,18,1.3157894736842106
9229,712.1145,2007,25,60,18,1.3157894736842106
3311,707.0577,2007,25,16,18,1.3157894736842106
6968,710.225,2007,25,23,18,1.3157894736842106
6969,710.2252,2007,25,25,18,1.3157894736842106
4617,708.1606,2007,25,71,18,1.3157894736842106
7033,710.2538,2007,25,25,18,1.3157894736842106
1405,705.172,2007,25,34,18,1.3157894736842106
3153,706.4377,2007,25,17,18,1.3157894736842106
1638,705.2663,2007,25,17,18,1.3157894736842106
9212,712.1089,2007,25,19,18,1.3157894736842106
858,704.3315,2007,25,42,18,1.3157894736842106
7458,710.4512,2007,25,36,18,1.3157894736842106
8530,711.3174,2007,25,35,18,1.3157894736842106
2257,706.0672,2007,25,20,18,1.3157894736842106
8284,711.221,2007,25,28,18,1.3157894736842106
2979,706.3668,2007,25,28,18,1.3157894736842106
5061,708.3547,2007,25,18,18,1.3157894736842106
6440,710.0015,2007,25,28,18,1.3157894736842106
6387,709.4511,2007,25,154,18,1.3157894736842106
867,704.3345,2007,25,1,18,1.3157894736842106
9549,712.2332,2007,25,460,18,1.3157894736842106
2996,706.3741,2007,25,41,18,1.3157894736842106
6340,709.4295,2007,25,51,18,1.3157894736842106
1970,705.4061,2007,25,47,18,1.3157894736842106
3635,707.2099,2007,25,43,18,1.3157894736842106
1354,705.1526,2007,25,27,18,1.3157894736842106
5575,709.1177,2007,25,25,18,1.3157894736842106
6441,710.0022,2007,25,38,18,1.3157894736842106
1607,705.252,2007,25,35,18,1.3157894736842106
2851,706.3089,2007,25,17,18,1.3157894736842106
1623,705.2588,2007,24,70,18,1.263157894736842
